Título;N. tombo;ISBN;Edição;Volume;Tipo de material;Forma de aquisição;Data do registro
Ius commune;1.612.811;9788551913222;;;Livro;DL;29/12/2021
Jesus de Nazaré;1.612.467;9788569062820;;;Livro;DL;06/12/2021
Jônatas;1.612.607;9788540026902;;;Livro;DL;09/12/2021
Jornalismo em tempo de transformação;1.612.788;;;;Livro;DL;27/12/2021
José Maurício Nunes Garcia;1.612.743;9788533307889;2. ed.;;Livro;DL;27/12/2021
Jovem escritor;1.612.518;9788572140263;;;Livro;DL;07/12/2021
Jurisdição constitucional;1.612.379;9788551906675;;;Livro;DL;03/12/2021
Justiça curricular e suas imagens;1.612.713;;;;Livro;DL;27/12/2021
Kalimera;1.612.419;9788567049984;;;Livro;DL;06/12/2021
La descripción archivística en los tiempos posmodernos;1.612.319;9788579837760;;;Livro;DL;03/12/2021
Lacan, leitor de Joyce;1.612.698;9788594347091;;;Livro;DL;15/12/2021
Laços possíveis;1.612.362;9788594347121;;;Livro;DL;03/12/2021
Lagoa encantada;1.612.472;9788540027367;;;Livro;DL;06/12/2021
Leis da provincia do Espirito-Santo contendo as Leis da Assembléa Legislativa da Sessão ordinaria de 1871. Tomo XXXV;60073;;;;Livro;;13/12/2021
Lendo o evangelho segundo Matheus;1.612.470;9788534950121;;;Livro;DL;06/12/2021
Leonardo da Vinci e sua época;1.612.879;9788516113391;1. ed.;;Livro;DL;29/12/2021
Léxico em foco;1.612.463;9788572490177;;;Livro;DL;06/12/2021
Liberdade, felicidade & foda-se!;1.612.600;9788542215830;;;Livro;DL;07/12/2021
Limite;1.612.327;9788580062748;;;Livro;DL;03/12/2021
Limites e restrições à liberdade profissional no âmbito da Administração Pública;1.612.815;9788551912966;;;Livro;DL;28/12/2021
Língua inglesa;1.612.673;9788547327958;;;Livro;DL;15/12/2021
Linha de instabilidade;1.612.271;9788571050204;1. ed.;;Livro;DL;01/12/2021
Livro 43 de registro de processos da Secretaria do Conselho Supremo Militar de Justiça;1.612.295;;;5;Livro;DL;01/12/2021
